"Plot Title: Waterlab"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309220, SEN S/N: 20309220)","Event, units (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Attached (LGR S/N: 20309220, SEN S/N: 20309220)","Host Connected (LGR S/N: 20309220, SEN S/N: 20309220)","Coupler Detached (LGR S/N: 20309220, SEN S/N: 20309220)","End Of File (LGR S/N: 20309220, SEN S/N: 20309220)"
1,01/23/20 04:45:00 PM,58.993,0.00,,,,
2,01/23/20 05:00:00 PM,56.057,,,,,
3,01/23/20 05:15:00 PM,54.495,,,,,
4,01/23/20 05:30:00 PM,53.798,,,,,
5,01/23/20 05:45:00 PM,53.274,,,,,
6,01/23/20 06:00:00 PM,52.925,,,,,
7,01/23/20 06:15:00 PM,52.576,,,,,
8,01/23/20 06:30:00 PM,52.401,,,,,
9,01/23/20 06:45:00 PM,52.050,,,,,
10,01/23/20 07:00:00 PM,51.523,,,,,
11,01/23/20 07:15:00 PM,51.346,,,,,
12,01/23/20 07:30:00 PM,51.523,,,,,
13,01/23/20 07:45:00 PM,51.523,,,,,
14,01/23/20 08:00:00 PM,51.172,,,,,
15,01/23/20 08:15:00 PM,50.290,,,,,
16,01/23/20 08:30:00 PM,49.759,,,,,
17,01/23/20 08:45:00 PM,49.404,,,,,
18,01/23/20 09:00:00 PM,49.404,,,,,
19,01/23/20 09:15:00 PM,49.582,,,,,
20,01/23/20 09:30:00 PM,49.582,,,,,
21,01/23/20 09:45:00 PM,49.050,,,,,
22,01/23/20 10:00:00 PM,48.517,,,,,
23,01/23/20 10:15:00 PM,48.339,,,,,
24,01/23/20 10:30:00 PM,47.982,,,,,
25,01/23/20 10:45:00 PM,47.446,,,,,
26,01/23/20 11:00:00 PM,46.908,,,,,
27,01/23/20 11:15:00 PM,46.908,,,,,
28,01/23/20 11:30:00 PM,46.728,,,,,
29,01/23/20 11:45:00 PM,46.188,,,,,
30,01/24/20 12:00:00 AM,46.008,,,,,
31,01/24/20 12:15:00 AM,45.828,,,,,
32,01/24/20 12:30:00 AM,45.286,,,,,
33,01/24/20 12:45:00 AM,44.922,,,,,
34,01/24/20 01:00:00 AM,44.742,,,,,
35,01/24/20 01:15:00 AM,44.560,,,,,
36,01/24/20 01:30:00 AM,44.379,,,,,
37,01/24/20 01:45:00 AM,44.379,,,,,
38,01/24/20 02:00:00 AM,44.379,,,,,
39,01/24/20 02:15:00 AM,44.195,,,,,
40,01/24/20 02:30:00 AM,44.013,,,,,
41,01/24/20 02:45:00 AM,43.648,,,,,
42,01/24/20 03:00:00 AM,43.099,,,,,
43,01/24/20 03:15:00 AM,43.099,,,,,
44,01/24/20 03:30:00 AM,42.732,,,,,
45,01/24/20 03:45:00 AM,42.548,,,,,
46,01/24/20 04:00:00 AM,42.363,,,,,
47,01/24/20 04:15:00 AM,42.363,,,,,
48,01/24/20 04:30:00 AM,41.810,,,,,
49,01/24/20 04:45:00 AM,41.439,,,,,
50,01/24/20 05:00:00 AM,41.067,,,,,
51,01/24/20 05:15:00 AM,40.881,,,,,
52,01/24/20 05:30:00 AM,40.696,,,,,
53,01/24/20 05:45:00 AM,40.881,,,,,
54,01/24/20 06:00:00 AM,40.881,,,,,
55,01/24/20 06:15:00 AM,41.067,,,,,
56,01/24/20 06:30:00 AM,40.881,,,,,
57,01/24/20 06:45:00 AM,41.254,,,,,
58,01/24/20 07:00:00 AM,41.067,,,,,
59,01/24/20 07:15:00 AM,40.509,,,,,
60,01/24/20 07:30:00 AM,40.321,,,,,
61,01/24/20 07:45:00 AM,40.696,,,,,
62,01/24/20 08:00:00 AM,40.509,,,,,
63,01/24/20 08:15:00 AM,40.696,,,,,
64,01/24/20 08:30:00 AM,40.881,,,,,
65,01/24/20 08:45:00 AM,41.625,,,,,
66,01/24/20 09:00:00 AM,42.179,,,,,
67,01/24/20 09:15:00 AM,43.466,,,,,
68,01/24/20 09:30:00 AM,44.742,,,,,
69,01/24/20 09:45:00 AM,46.369,,,,,
70,01/24/20 10:00:00 AM,54.842,,,,,
71,01/24/20 10:15:00 AM,59.680,,,,,
72,01/24/20 10:30:00 AM,62.598,,,,,
73,01/24/20 10:45:00 AM,64.825,,,,,
74,01/24/20 11:00:00 AM,66.708,,,,,
75,01/24/20 11:15:00 AM,66.708,,,,,
76,01/24/20 11:30:00 AM,67.050,,,,,
77,01/24/20 11:45:00 AM,67.392,,,,,
78,01/24/20 12:00:00 PM,66.708,,,,,
79,01/24/20 12:15:00 PM,67.906,,,,,
80,01/24/20 12:30:00 PM,67.221,,,,,
81,01/24/20 12:45:00 PM,66.022,,,,,
82,01/24/20 01:00:00 PM,65.851,,,,,
83,01/24/20 01:15:00 PM,66.022,,,,,
84,01/24/20 01:30:00 PM,66.022,,,,,
85,01/24/20 01:45:00 PM,66.537,,,,,
86,01/24/20 02:00:00 PM,66.879,,,,,
87,01/24/20 02:15:00 PM,63.282,,,,,
88,01/24/20 02:30:00 PM,60.883,,,,,
89,01/24/20 02:45:00 PM,60.195,,,,,
90,01/24/20 03:00:00 PM,59.337,,,,,
91,01/24/20 03:15:00 PM,59.508,,,,,
92,01/24/20 03:30:00 PM,60.024,,,,,
93,01/24/20 03:45:00 PM,59.851,,,,,
94,01/24/20 04:00:00 PM,59.508,,,,,
95,01/24/20 04:15:00 PM,58.476,,,,,
96,01/24/20 04:30:00 PM,57.614,,,,,
97,01/24/20 04:45:00 PM,56.923,,,,,
98,01/24/20 05:00:00 PM,56.230,,,,,
99,01/24/20 05:15:00 PM,55.711,,,,,
100,01/24/20 05:30:00 PM,55.017,,,,,
101,01/24/20 05:45:00 PM,54.669,,,,,
102,01/24/20 06:00:00 PM,54.322,,,,,
103,01/24/20 06:15:00 PM,54.322,,,,,
104,01/24/20 06:30:00 PM,54.147,,,,,
105,01/24/20 06:45:00 PM,54.147,,,,,
106,01/24/20 07:00:00 PM,54.322,,,,,
107,01/24/20 07:15:00 PM,53.623,,,,,
108,01/24/20 07:30:00 PM,53.100,,,,,
109,01/24/20 07:45:00 PM,52.750,,,,,
110,01/24/20 08:00:00 PM,52.576,,,,,
