"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592076, SEN S/N: 10592076)","Event, inches (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Detached (LGR S/N: 10592076, SEN S/N: 10592076)","Bad Battery (LGR S/N: 10592076, SEN S/N: 10592076)","Coupler Attached (LGR S/N: 10592076, SEN S/N: 10592076)","End Of File (LGR S/N: 10592076, SEN S/N: 10592076)"
1,12/11/17 03:32:22 PM,77.749,0.00,,,,
2,12/11/17 03:32:32 PM,,,Logged,,,
3,12/11/17 04:32:22 PM,67.735,,,,,
4,12/11/17 05:32:22 PM,62.425,,,,,
5,12/11/17 06:32:22 PM,61.398,,,,,
6,12/11/17 07:32:22 PM,62.769,,,,,
7,12/11/17 08:32:22 PM,61.398,,,,,
8,12/11/17 09:32:22 PM,60.712,,,,,
9,12/11/17 10:32:22 PM,58.303,,,,,
10,12/11/17 11:32:22 PM,58.131,,,,,
11,12/12/17 12:32:22 AM,58.820,,,,,
12,12/12/17 01:32:22 AM,58.993,,,,,
13,12/12/17 02:32:22 AM,58.476,,,,,
14,12/12/17 03:32:22 AM,56.057,,,,,
15,12/12/17 04:32:22 AM,56.577,,,,,
16,12/12/17 05:32:22 AM,56.923,,,,,
17,12/12/17 06:32:22 AM,55.189,,,,,
18,12/12/17 07:32:22 AM,53.973,,,,,
19,12/12/17 08:32:22 AM,53.274,,,,,
20,12/12/17 09:32:22 AM,66.708,,,,,
21,12/12/17 10:32:22 AM,76.354,,,,,
22,12/12/17 11:32:22 AM,83.579,,,,,
23,12/12/17 12:32:22 PM,80.911,,,,,
24,12/12/17 01:32:22 PM,81.797,,,,,
25,12/12/17 02:32:22 PM,84.834,,,,,
26,12/12/17 03:32:22 PM,83.579,,,,,
27,12/12/17 04:32:22 PM,74.446,,,,,
28,12/12/17 05:32:22 PM,60.024,,,,,
29,12/12/17 06:32:22 PM,56.923,,,,,
30,12/12/17 07:32:22 PM,55.711,,,,,
31,12/12/17 08:32:22 PM,54.495,,,,,
32,12/12/17 09:32:22 PM,53.623,,,,,
33,12/12/17 10:32:22 PM,53.798,,,,,
34,12/12/17 11:32:22 PM,53.623,,,,,
35,12/13/17 12:32:22 AM,53.100,,,,,
36,12/13/17 01:32:22 AM,51.874,,,,,
37,12/13/17 02:32:22 AM,51.346,,,,,
38,12/13/17 03:32:22 AM,47.624,,,,,
39,12/13/17 04:32:22 AM,46.728,,,,,
40,12/13/17 05:32:22 AM,44.922,,,,,
41,12/13/17 06:32:22 AM,45.286,,,,,
42,12/13/17 07:32:22 AM,44.742,,,,,
43,12/13/17 08:32:22 AM,46.188,,,,,
44,12/13/17 09:32:22 AM,63.282,,,,,
45,12/13/17 10:32:22 AM,74.791,,,,,
46,12/13/17 11:32:22 AM,70.995,,,,,
47,12/13/17 12:32:22 PM,73.407,,,,,
48,12/13/17 01:32:22 PM,74.619,,,,,
49,12/13/17 02:32:22 PM,72.891,,,,,
50,12/13/17 03:32:22 PM,74.271,,,,,
51,12/13/17 04:32:22 PM,69.793,,,,,
52,12/13/17 05:32:22 PM,56.057,,,,,
53,12/13/17 06:32:22 PM,55.017,,,,,
54,12/13/17 07:32:22 PM,53.973,,,,,
55,12/13/17 08:32:22 PM,53.274,,,,,
56,12/13/17 09:32:22 PM,51.699,,,,,
57,12/13/17 10:32:22 PM,51.699,,,,,
58,12/13/17 11:32:22 PM,48.517,,,,,
59,12/14/17 12:32:22 AM,48.160,,,,,
60,12/14/17 01:32:22 AM,47.802,,,,,
61,12/14/17 02:32:22 AM,47.088,,,,,
62,12/14/17 03:32:22 AM,46.188,,,,,
63,12/14/17 04:32:22 AM,46.548,,,,,
64,12/14/17 05:32:22 AM,47.088,,,,,
65,12/14/17 06:32:22 AM,45.648,,,,,
66,12/14/17 07:32:22 AM,45.648,,,,,
67,12/14/17 08:32:22 AM,47.088,,,,,
68,12/14/17 09:32:22 AM,64.825,,,,,
69,12/14/17 10:32:22 AM,73.580,,,,,
70,12/14/17 11:32:22 AM,78.274,,,,,
71,12/14/17 12:32:22 PM,76.876,,,,,
72,12/14/17 01:32:22 PM,79.151,,,,,
73,12/14/17 02:32:22 PM,78.975,,,,,
74,12/14/17 03:32:22 PM,80.029,,,,,
75,12/14/17 04:32:22 PM,71.339,,,,,
76,12/14/17 05:32:22 PM,58.820,,,,,
77,12/14/17 06:32:22 PM,59.337,,,,,
78,12/14/17 07:32:22 PM,59.164,,,,,
79,12/14/17 08:32:22 PM,58.820,,,,,
80,12/14/17 09:32:22 PM,54.842,,,,,
81,12/14/17 10:32:22 PM,55.711,,,,,
82,12/14/17 11:32:22 PM,55.537,,,,,
83,12/15/17 12:32:22 AM,54.669,,,,,
84,12/15/17 01:32:22 AM,54.669,,,,,
85,12/15/17 02:32:22 AM,56.230,,,,,
86,12/15/17 03:32:22 AM,54.495,,,,,
87,12/15/17 04:32:22 AM,52.750,,,,,
88,12/15/17 05:32:22 AM,55.364,,,,,
89,12/15/17 06:32:22 AM,52.925,,,,,
90,12/15/17 07:32:22 AM,54.495,,,,,
91,12/15/17 08:32:22 AM,55.537,,,,,
92,12/15/17 09:32:22 AM,66.193,,,,,
93,12/15/17 10:32:22 AM,75.832,,,,,
94,12/15/17 11:32:22 AM,67.221,,,,,
95,12/15/17 12:32:22 PM,71.168,,,,,
96,12/15/17 01:32:22 PM,72.199,,,,,
97,12/15/17 02:32:22 PM,67.050,,,,,
98,12/15/17 03:32:22 PM,64.139,,,,,
99,12/15/17 04:32:22 PM,55.884,,,,,
100,12/15/17 05:32:22 PM,53.798,,,,,
101,12/15/17 06:32:22 PM,52.401,,,,,
102,12/15/17 07:32:22 PM,51.699,,,,,
103,12/15/17 08:32:22 PM,50.643,,,,,
104,12/15/17 09:32:22 PM,50.290,,,,,
105,12/15/17 10:32:22 PM,49.759,,,,,
106,12/15/17 11:32:22 PM,47.982,,,,,
107,12/16/17 12:32:22 AM,49.404,,,,,
108,12/16/17 01:32:22 AM,50.643,,,,,
109,12/16/17 02:32:22 AM,49.404,,,,,
110,12/16/17 03:32:22 AM,48.160,,,,,
111,12/16/17 04:32:22 AM,46.548,,,,,
112,12/16/17 05:32:22 AM,50.113,,,,,
113,12/16/17 06:32:22 AM,52.750,,,,,
114,12/16/17 07:32:22 AM,52.576,,,,,
115,12/16/17 08:32:22 AM,53.274,,,,,
116,12/16/17 09:32:22 AM,63.626,,,,,
117,12/16/17 10:32:22 AM,71.339,,,,,
118,12/16/17 11:32:22 AM,72.372,,,,,
119,12/16/17 12:32:22 PM,74.619,,,,,
120,12/16/17 01:32:22 PM,72.891,,,,,
121,12/16/17 02:32:22 PM,74.619,,,,,
122,12/16/17 03:32:22 PM,72.199,,,,,
123,12/16/17 04:32:22 PM,64.481,,,,,
124,12/16/17 05:32:22 PM,54.669,,,,,
125,12/16/17 06:32:22 PM,54.669,,,,,
126,12/16/17 07:32:22 PM,54.495,,,,,
127,12/16/17 08:32:22 PM,53.100,,,,,
128,12/16/17 09:32:22 PM,52.750,,,,,
129,12/16/17 10:32:22 PM,52.750,,,,,
130,12/16/17 11:32:22 PM,53.274,,,,,
131,12/17/17 12:32:22 AM,50.819,,,,,
132,12/17/17 01:32:22 AM,50.113,,,,,
133,12/17/17 02:32:22 AM,50.113,,,,,
134,12/17/17 03:32:22 AM,49.937,,,,,
135,12/17/17 04:32:22 AM,49.050,,,,,
136,12/17/17 05:32:22 AM,49.050,,,,,
137,12/17/17 06:32:22 AM,47.266,,,,,
138,12/17/17 07:32:22 AM,45.828,,,,,
139,12/17/17 08:32:22 AM,48.339,,,,,
140,12/17/17 09:32:22 AM,61.054,,,,,
141,12/17/17 10:32:22 AM,69.278,,,,,
142,12/17/17 11:32:22 AM,72.372,,,,,
143,12/17/17 12:32:22 PM,72.718,,,,,
144,12/17/17 01:32:22 PM,72.199,,,,,
145,12/17/17 02:32:22 PM,71.683,,,,,
146,12/17/17 03:32:22 PM,70.308,,,,,
147,12/17/17 04:32:22 PM,66.022,,,,,
148,12/17/17 05:32:22 PM,53.100,,,,,
149,12/17/17 06:32:22 PM,52.401,,,,,
150,12/17/17 07:32:22 PM,52.050,,,,,
151,12/17/17 08:32:22 PM,53.274,,,,,
152,12/17/17 09:32:22 PM,50.995,,,,,
153,12/17/17 10:32:22 PM,48.695,,,,,
154,12/17/17 11:32:22 PM,49.759,,,,,
155,12/18/17 12:32:22 AM,48.695,,,,,
156,12/18/17 01:32:22 AM,48.339,,,,,
157,12/18/17 02:32:22 AM,50.290,,,,,
158,12/18/17 03:32:22 AM,47.624,,,,,
159,12/18/17 04:32:22 AM,47.446,,,,,
160,12/18/17 05:32:22 AM,47.624,,,,,
161,12/18/17 06:32:22 AM,47.624,,,,,
162,12/18/17 07:32:22 AM,48.160,,,,,
163,12/18/17 08:32:22 AM,51.172,,,,,
164,12/18/17 09:32:22 AM,63.111,,,,,
165,12/18/17 10:32:22 AM,74.791,,,,,
166,12/18/17 11:32:22 AM,73.234,,,,,
167,12/18/17 12:32:22 PM,75.139,,,,,
168,12/18/17 01:32:22 PM,74.791,,,,,
169,12/18/17 02:32:22 PM,75.484,,,,,
170,12/18/17 03:32:22 PM,74.098,,,,,
171,12/18/17 04:32:22 PM,67.392,,,,,
172,12/18/17 05:32:22 PM,53.798,,,,,
173,12/18/17 06:32:22 PM,53.100,,,,,
174,12/18/17 07:32:22 PM,50.995,,,,,
175,12/18/17 08:32:22 PM,49.582,,,,,
176,12/18/17 09:32:22 PM,49.759,,,,,
177,12/18/17 10:32:22 PM,48.695,,,,,
178,12/18/17 11:32:22 PM,48.517,,,,,
179,12/19/17 12:32:22 AM,49.228,,,,,
180,12/19/17 01:32:22 AM,47.446,,,,,
181,12/19/17 02:32:22 AM,47.266,,,,,
182,12/19/17 03:32:22 AM,46.728,,,,,
183,12/19/17 04:32:22 AM,46.548,,,,,
184,12/19/17 05:32:22 AM,45.828,,,,,
185,12/19/17 06:32:22 AM,46.548,,,,,
186,12/19/17 07:32:22 AM,45.466,,,,,
187,12/19/17 08:32:22 AM,48.871,,,,,
188,12/19/17 09:32:22 AM,62.254,,,,,
189,12/19/17 10:32:22 AM,64.310,,,,,
190,12/19/17 11:32:22 AM,68.934,,,,,
191,12/19/17 12:32:22 PM,69.107,,,,,
192,12/19/17 01:32:22 PM,69.964,,,,,
193,12/19/17 02:32:22 PM,66.708,,,,,
194,12/19/17 03:32:22 PM,61.912,,,,,
195,12/19/17 04:32:22 PM,53.798,,,,,
196,12/19/17 05:32:22 PM,49.937,,,,,
197,12/19/17 06:32:22 PM,48.871,,,,,
198,12/19/17 07:32:22 PM,49.404,,,,,
199,12/19/17 08:32:22 PM,49.759,,,,,
200,12/19/17 09:32:22 PM,50.466,,,,,
201,12/19/17 10:32:22 PM,50.819,,,,,
202,12/19/17 11:32:22 PM,50.113,,,,,
203,12/20/17 12:32:22 AM,49.228,,,,,
204,12/20/17 01:32:22 AM,49.582,,,,,
205,12/20/17 02:22:51 AM,,0.01,,,,
206,12/20/17 02:32:22 AM,50.290,,,,,
207,12/20/17 02:45:36 AM,,0.02,,,,
208,12/20/17 02:52:44 AM,,0.03,,,,
209,12/20/17 03:03:42 AM,,0.04,,,,
210,12/20/17 03:32:22 AM,51.172,,,,,
211,12/20/17 03:32:46 AM,,0.05,,,,
212,12/20/17 03:37:20 AM,,0.06,,,,
213,12/20/17 04:32:22 AM,46.908,,,,,
214,12/20/17 05:32:22 AM,45.104,,,,,
215,12/20/17 06:32:22 AM,44.013,,,,,
216,12/20/17 07:32:22 AM,43.099,,,,,
217,12/20/17 08:32:22 AM,44.922,,,,,
218,12/20/17 09:32:22 AM,54.842,,,,,
219,12/20/17 10:32:22 AM,62.425,,,,,
220,12/20/17 11:32:22 AM,64.139,,,,,
221,12/20/17 12:32:22 PM,65.338,,,,,
222,12/20/17 01:32:22 PM,65.338,,,,,
223,12/20/17 02:32:22 PM,64.310,,,,,
224,12/20/17 03:32:22 PM,61.054,,,,,
225,12/20/17 04:32:22 PM,55.017,,,,,
226,12/20/17 05:32:22 PM,43.282,,,,,
227,12/20/17 06:32:22 PM,41.625,,,,,
228,12/20/17 07:32:22 PM,41.067,,,,,
229,12/20/17 08:32:22 PM,39.384,,,,,
230,12/20/17 09:32:22 PM,39.760,,,,,
231,12/20/17 10:32:22 PM,39.196,,,,,
232,12/20/17 11:32:22 PM,40.881,,,,,
233,12/21/17 12:32:22 AM,39.007,,,,,
234,12/21/17 01:32:22 AM,40.509,,,,,
235,12/21/17 02:32:22 AM,39.384,,,,,
236,12/21/17 03:32:22 AM,41.254,,,,,
237,12/21/17 04:32:22 AM,38.629,,,,,
238,12/21/17 05:32:22 AM,38.629,,,,,
239,12/21/17 06:32:22 AM,38.250,,,,,
240,12/21/17 07:32:22 AM,39.007,,,,,
241,12/21/17 08:32:22 AM,40.696,,,,,
242,12/21/17 09:32:22 AM,54.147,,,,,
243,12/21/17 10:32:22 AM,66.366,,,,,
244,12/21/17 11:32:22 AM,65.167,,,,,
245,12/21/17 12:32:22 PM,66.537,,,,,
246,12/21/17 01:32:22 PM,67.735,,,,,
247,12/21/17 02:32:22 PM,66.366,,,,,
248,12/21/17 03:32:22 PM,64.996,,,,,
249,12/21/17 04:32:22 PM,57.785,,,,,
250,12/21/17 05:32:22 PM,44.013,,,,,
251,12/21/17 06:32:22 PM,43.282,,,,,
252,12/21/17 07:32:22 PM,42.915,,,,,
253,12/21/17 08:32:22 PM,40.881,,,,,
254,12/21/17 09:32:22 PM,40.881,,,,,
255,12/21/17 10:32:22 PM,41.254,,,,,
256,12/21/17 11:32:22 PM,41.439,,,,,
257,12/22/17 12:32:22 AM,40.509,,,,,
258,12/22/17 01:32:22 AM,41.810,,,,,
259,12/22/17 02:32:22 AM,42.915,,,,,
260,12/22/17 03:32:22 AM,38.818,,,,,
261,12/22/17 04:32:22 AM,40.134,,,,,
262,12/22/17 05:32:22 AM,39.196,,,,,
263,12/22/17 06:32:22 AM,40.134,,,,,
264,12/22/17 07:32:22 AM,40.696,,,,,
265,12/22/17 08:32:22 AM,43.648,,,,,
266,12/22/17 09:32:22 AM,55.711,,,,,
267,12/22/17 10:32:22 AM,66.366,,,,,
268,12/22/17 11:32:22 AM,66.708,,,,,
269,12/22/17 12:32:22 PM,72.545,,,,,
270,12/22/17 01:32:22 PM,70.137,,,,,
271,12/22/17 02:32:22 PM,68.248,,,,,
272,12/22/17 03:32:22 PM,66.537,,,,,
273,12/22/17 04:32:22 PM,55.364,,,,,
274,12/22/17 05:32:22 PM,46.188,,,,,
275,12/22/17 06:32:22 PM,44.922,,,,,
276,12/22/17 07:32:22 PM,44.922,,,,,
277,12/22/17 08:32:22 PM,43.099,,,,,
278,12/22/17 09:32:22 PM,45.648,,,,,
279,12/22/17 10:32:22 PM,44.922,,,,,
280,12/22/17 11:32:22 PM,45.104,,,,,
281,12/23/17 12:32:22 AM,45.466,,,,,
282,12/23/17 01:32:22 AM,44.560,,,,,
283,12/23/17 02:32:22 AM,45.286,,,,,
284,12/23/17 03:32:22 AM,42.915,,,,,
285,12/23/17 04:32:22 AM,43.831,,,,,
286,12/23/17 05:32:22 AM,44.013,,,,,
287,12/23/17 06:32:22 AM,45.104,,,,,
288,12/23/17 07:32:22 AM,45.286,,,,,
289,12/23/17 08:32:22 AM,46.369,,,,,
290,12/23/17 09:32:22 AM,56.577,,,,,
291,12/23/17 10:32:22 AM,58.303,,,,,
292,12/23/17 11:32:22 AM,72.372,,,,,
293,12/23/17 12:32:22 PM,69.449,,,,,
294,12/23/17 01:32:22 PM,68.077,,,,,
295,12/23/17 02:32:22 PM,64.139,,,,,
296,12/23/17 03:32:22 PM,69.964,,,,,
297,12/23/17 04:32:22 PM,56.057,,,,,
298,12/23/17 05:32:22 PM,50.819,,,,,
299,12/23/17 06:32:22 PM,50.643,,,,,
300,12/23/17 07:32:22 PM,50.643,,,,,
301,12/23/17 08:32:22 PM,50.819,,,,,
302,12/23/17 09:32:22 PM,50.643,,,,,
303,12/23/17 10:32:22 PM,49.582,,,,,
304,12/23/17 11:32:22 PM,48.517,,,,,
305,12/24/17 12:32:22 AM,48.160,,,,,
306,12/24/17 01:32:22 AM,48.160,,,,,
307,12/24/17 02:32:22 AM,47.624,,,,,
308,12/24/17 03:32:22 AM,47.624,,,,,
309,12/24/17 04:32:22 AM,47.266,,,,,
310,12/24/17 05:32:22 AM,46.908,,,,,
311,12/24/17 06:32:22 AM,46.908,,,,,
312,12/24/17 07:32:22 AM,47.624,,,,,
313,12/24/17 08:32:22 AM,49.050,,,,,
314,12/24/17 09:32:22 AM,51.874,,,,,
315,12/24/17 10:32:22 AM,55.017,,,,,
316,12/24/17 11:32:22 AM,59.680,,,,,
317,12/24/17 12:32:22 PM,54.669,,,,,
318,12/24/17 01:32:22 PM,55.017,,,,,
319,12/24/17 02:32:22 PM,56.404,,,,,
320,12/24/17 03:32:22 PM,55.711,,,,,
321,12/24/17 04:32:22 PM,53.798,,,,,
322,12/24/17 05:32:22 PM,49.759,,,,,
323,12/24/17 06:32:22 PM,49.404,,,,,
324,12/24/17 07:32:22 PM,51.346,,,,,
325,12/24/17 08:32:22 PM,52.401,,,,,
326,12/24/17 09:32:22 PM,51.874,,,,,
327,12/24/17 10:32:22 PM,49.937,,,,,
328,12/24/17 11:32:22 PM,48.695,,,,,
329,12/25/17 12:32:22 AM,46.908,,,,,
330,12/25/17 01:32:22 AM,45.828,,,,,
331,12/25/17 02:32:22 AM,45.286,,,,,
332,12/25/17 03:32:22 AM,46.369,,,,,
333,12/25/17 04:32:22 AM,48.695,,,,,
334,12/25/17 05:32:22 AM,48.695,,,,,
335,12/25/17 06:32:22 AM,48.695,,,,,
336,12/25/17 07:32:22 AM,46.728,,,,,
337,12/25/17 08:32:22 AM,49.050,,,,,
338,12/25/17 09:32:22 AM,53.973,,,,,
339,12/25/17 10:32:22 AM,63.111,,,,,
340,12/25/17 11:32:22 AM,64.996,,,,,
341,12/25/17 12:32:22 PM,71.168,,,,,
342,12/25/17 01:32:22 PM,61.227,,,,,
343,12/25/17 02:32:22 PM,59.337,,,,,
344,12/25/17 03:32:22 PM,63.968,,,,,
345,12/25/17 04:32:22 PM,60.024,,,,,
346,12/25/17 05:32:22 PM,58.131,,,,,
347,12/25/17 06:32:22 PM,58.476,,,,,
348,12/25/17 07:32:22 PM,56.404,,,,,
349,12/25/17 08:32:22 PM,57.268,,,,,
350,12/25/17 09:32:22 PM,57.268,,,,,
351,12/25/17 10:32:22 PM,57.096,,,,,
352,12/25/17 11:32:22 PM,57.096,,,,,
353,12/26/17 12:32:22 AM,54.669,,,,,
354,12/26/17 01:32:22 AM,53.449,,,,,
355,12/26/17 02:32:22 AM,53.100,,,,,
356,12/26/17 03:32:22 AM,49.937,,,,,
357,12/26/17 04:32:22 AM,50.466,,,,,
358,12/26/17 05:32:22 AM,50.290,,,,,
359,12/26/17 06:32:22 AM,51.346,,,,,
360,12/26/17 07:32:22 AM,49.404,,,,,
361,12/26/17 08:32:22 AM,50.819,,,,,
362,12/26/17 09:32:22 AM,60.368,,,,,
363,12/26/17 10:32:22 AM,72.718,,,,,
364,12/26/17 11:32:22 AM,74.098,,,,,
365,12/26/17 12:32:22 PM,76.528,,,,,
366,12/26/17 01:32:22 PM,80.911,,,,,
367,12/26/17 02:32:22 PM,79.502,,,,,
368,12/26/17 03:32:22 PM,76.876,,,,,
369,12/26/17 04:32:22 PM,63.797,,,,,
370,12/26/17 05:32:22 PM,53.973,,,,,
371,12/26/17 06:32:22 PM,49.759,,,,,
372,12/26/17 07:32:22 PM,47.802,,,,,
373,12/26/17 08:32:22 PM,45.828,,,,,
374,12/26/17 09:32:22 PM,45.104,,,,,
375,12/26/17 10:32:22 PM,43.831,,,,,
376,12/26/17 11:32:22 PM,43.466,,,,,
377,12/27/17 12:32:22 AM,43.099,,,,,
378,12/27/17 01:32:22 AM,47.624,,,,,
379,12/27/17 02:32:22 AM,46.908,,,,,
380,12/27/17 03:32:22 AM,45.466,,,,,
381,12/27/17 04:32:22 AM,45.466,,,,,
382,12/27/17 05:32:22 AM,45.104,,,,,
383,12/27/17 06:32:22 AM,45.828,,,,,
384,12/27/17 07:32:22 AM,45.104,,,,,
385,12/27/17 08:32:22 AM,48.517,,,,,
386,12/27/17 09:32:22 AM,57.614,,,,,
387,12/27/17 10:32:22 AM,67.392,,,,,
388,12/27/17 11:32:22 AM,70.480,,,,,
389,12/27/17 12:32:22 PM,70.824,,,,,
390,12/27/17 01:32:22 PM,78.624,,,,,
391,12/27/17 02:32:22 PM,74.098,,,,,
392,12/27/17 03:32:22 PM,70.308,,,,,
393,12/27/17 04:32:22 PM,66.193,,,,,
394,12/27/17 05:32:22 PM,56.404,,,,,
395,12/27/17 06:32:22 PM,55.189,,,,,
396,12/27/17 07:32:22 PM,52.750,,,,,
397,12/27/17 08:32:22 PM,52.576,,,,,
398,12/27/17 09:32:22 PM,50.819,,,,,
399,12/27/17 10:32:22 PM,50.819,,,,,
400,12/27/17 11:32:22 PM,47.266,,,,,
401,12/28/17 12:32:22 AM,46.188,,,,,
402,12/28/17 01:32:22 AM,49.050,,,,,
403,12/28/17 02:32:22 AM,46.728,,,,,
404,12/28/17 03:32:22 AM,47.624,,,,,
405,12/28/17 04:32:22 AM,48.871,,,,,
406,12/28/17 05:32:22 AM,48.160,,,,,
407,12/28/17 06:32:22 AM,47.802,,,,,
408,12/28/17 07:32:22 AM,46.188,,,,,
409,12/28/17 08:32:22 AM,46.908,,,,,
410,12/28/17 09:32:22 AM,58.993,,,,,
411,12/28/17 10:32:22 AM,75.312,,,,,
412,12/28/17 11:32:22 AM,74.098,,,,,
413,12/28/17 12:32:22 PM,78.449,,,,,
414,12/28/17 01:32:22 PM,79.326,,,,,
415,12/28/17 02:32:22 PM,81.090,,,,,
416,12/28/17 03:32:22 PM,81.797,,,,,
417,12/28/17 04:32:22 PM,71.168,,,,,
418,12/28/17 05:32:22 PM,61.398,,,,,
419,12/28/17 06:32:22 PM,60.368,,,,,
420,12/28/17 07:32:22 PM,59.680,,,,,
421,12/28/17 08:32:22 PM,59.164,,,,,
422,12/28/17 09:32:22 PM,58.131,,,,,
423,12/28/17 10:32:22 PM,55.537,,,,,
424,12/28/17 11:32:22 PM,54.842,,,,,
425,12/29/17 12:32:22 AM,55.884,,,,,
426,12/29/17 01:32:22 AM,53.623,,,,,
427,12/29/17 02:32:22 AM,50.995,,,,,
428,12/29/17 03:32:22 AM,50.113,,,,,
429,12/29/17 04:32:22 AM,49.404,,,,,
430,12/29/17 05:32:22 AM,54.322,,,,,
431,12/29/17 06:32:22 AM,54.842,,,,,
432,12/29/17 07:32:22 AM,54.842,,,,,
433,12/29/17 08:32:22 AM,55.884,,,,,
434,12/29/17 09:32:22 AM,68.421,,,,,
435,12/29/17 10:32:22 AM,84.474,,,,,
436,12/29/17 11:32:22 AM,86.823,,,,,
437,12/29/17 12:32:22 PM,84.474,,,,,
438,12/29/17 01:32:22 PM,84.834,,,,,
439,12/29/17 02:32:22 PM,85.374,,,,,
440,12/29/17 03:32:22 PM,84.115,,,,,
441,12/29/17 04:32:22 PM,79.151,,,,,
442,12/29/17 05:32:22 PM,61.912,,,,,
443,12/29/17 06:32:22 PM,57.958,,,,,
444,12/29/17 07:32:22 PM,58.647,,,,,
445,12/29/17 08:32:22 PM,60.195,,,,,
446,12/29/17 09:32:22 PM,60.712,,,,,
447,12/29/17 10:32:22 PM,57.096,,,,,
448,12/29/17 11:32:22 PM,52.925,,,,,
449,12/30/17 12:32:22 AM,53.623,,,,,
450,12/30/17 01:32:22 AM,54.147,,,,,
451,12/30/17 02:32:22 AM,52.401,,,,,
452,12/30/17 03:32:22 AM,48.871,,,,,
453,12/30/17 04:32:22 AM,47.266,,,,,
454,12/30/17 05:32:22 AM,53.274,,,,,
455,12/30/17 06:32:22 AM,53.274,,,,,
456,12/30/17 07:32:22 AM,53.623,,,,,
457,12/30/17 08:32:22 AM,54.322,,,,,
458,12/30/17 09:32:22 AM,61.054,,,,,
459,12/30/17 10:32:22 AM,69.964,,,,,
460,12/30/17 11:32:22 AM,78.274,,,,,
461,12/30/17 12:32:22 PM,74.446,,,,,
462,12/30/17 01:32:22 PM,77.749,,,,,
463,12/30/17 02:32:22 PM,68.248,,,,,
464,12/30/17 03:32:22 PM,67.906,,,,,
465,12/30/17 04:32:22 PM,61.398,,,,,
466,12/30/17 05:32:22 PM,53.798,,,,,
467,12/30/17 06:32:22 PM,53.973,,,,,
468,12/30/17 07:32:22 PM,53.798,,,,,
469,12/30/17 08:32:22 PM,51.699,,,,,
470,12/30/17 09:32:22 PM,50.643,,,,,
471,12/30/17 10:32:22 PM,49.582,,,,,
472,12/30/17 11:32:22 PM,48.160,,,,,
473,12/31/17 12:32:22 AM,46.369,,,,,
474,12/31/17 01:32:22 AM,46.188,,,,,
475,12/31/17 02:32:22 AM,45.828,,,,,
476,12/31/17 03:32:22 AM,48.160,,,,,
477,12/31/17 04:32:22 AM,49.404,,,,,
478,12/31/17 05:32:22 AM,49.228,,,,,
479,12/31/17 06:32:22 AM,49.228,,,,,
480,12/31/17 07:32:22 AM,50.466,,,,,
481,12/31/17 08:32:22 AM,52.225,,,,,
482,12/31/17 09:32:22 AM,55.537,,,,,
483,12/31/17 10:32:22 AM,56.577,,,,,
484,12/31/17 11:32:22 AM,57.268,,,,,
485,12/31/17 12:32:22 PM,58.647,,,,,
486,12/31/17 01:32:22 PM,55.884,,,,,
487,12/31/17 02:32:22 PM,57.958,,,,,
488,12/31/17 03:32:22 PM,55.537,,,,,
489,12/31/17 04:32:22 PM,54.147,,,,,
490,12/31/17 05:32:22 PM,52.576,,,,,
491,12/31/17 06:32:22 PM,51.874,,,,,
492,12/31/17 07:32:22 PM,51.699,,,,,
493,12/31/17 08:32:22 PM,51.699,,,,,
494,12/31/17 09:32:22 PM,51.874,,,,,
495,12/31/17 10:32:22 PM,51.699,,,,,
496,12/31/17 11:32:22 PM,51.874,,,,,
497,01/01/18 12:32:22 AM,49.937,,,,,
498,01/01/18 01:32:22 AM,48.160,,,,,
499,01/01/18 02:32:22 AM,49.050,,,,,
500,01/01/18 03:32:22 AM,50.290,,,,,
501,01/01/18 04:32:22 AM,49.582,,,,,
502,01/01/18 05:32:22 AM,47.266,,,,,
503,01/01/18 06:32:22 AM,46.369,,,,,
504,01/01/18 07:32:22 AM,46.548,,,,,
505,01/01/18 08:32:22 AM,48.695,,,,,
506,01/01/18 09:32:22 AM,56.230,,,,,
507,01/01/18 10:32:22 AM,67.906,,,,,
508,01/01/18 11:32:22 AM,70.824,,,,,
509,01/01/18 12:32:22 PM,71.856,,,,,
510,01/01/18 01:32:22 PM,74.098,,,,,
511,01/01/18 02:32:22 PM,70.308,,,,,
512,01/01/18 03:32:22 PM,74.964,,,,,
513,01/01/18 04:32:22 PM,66.022,,,,,
514,01/01/18 05:32:22 PM,58.131,,,,,
515,01/01/18 06:32:22 PM,56.230,,,,,
516,01/01/18 07:32:22 PM,55.884,,,,,
517,01/01/18 08:32:22 PM,57.958,,,,,
518,01/01/18 09:32:22 PM,55.711,,,,,
519,01/01/18 10:32:22 PM,55.711,,,,,
520,01/01/18 11:32:22 PM,58.303,,,,,
521,01/02/18 12:32:22 AM,58.303,,,,,
522,01/02/18 01:32:22 AM,55.537,,,,,
523,01/02/18 02:32:22 AM,58.820,,,,,
524,01/02/18 03:32:22 AM,59.337,,,,,
525,01/02/18 04:32:22 AM,56.577,,,,,
526,01/02/18 05:32:22 AM,57.958,,,,,
527,01/02/18 06:32:22 AM,58.131,,,,,
528,01/02/18 07:32:22 AM,56.404,,,,,
529,01/02/18 08:32:22 AM,59.164,,,,,
