"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
1,12/31/19 02:00:00 PM,58.131,0.00,,,,
2,12/31/19 02:15:00 PM,58.303,,,,,
3,12/31/19 02:30:00 PM,57.441,,,,,
4,12/31/19 02:45:00 PM,57.441,,,,,
5,12/31/19 03:00:00 PM,56.750,,,,,
6,12/31/19 03:15:00 PM,56.230,,,,,
7,12/31/19 03:30:00 PM,55.711,,,,,
8,12/31/19 03:45:00 PM,54.842,,,,,
9,12/31/19 04:00:00 PM,54.147,,,,,
10,12/31/19 04:15:00 PM,53.449,,,,,
11,12/31/19 04:30:00 PM,52.925,,,,,
12,12/31/19 04:45:00 PM,52.401,,,,,
13,12/31/19 05:00:00 PM,51.699,,,,,
14,12/31/19 05:15:00 PM,50.995,,,,,
15,12/31/19 05:30:00 PM,50.466,,,,,
16,12/31/19 05:45:00 PM,49.937,,,,,
17,12/31/19 06:00:00 PM,49.582,,,,,
18,12/31/19 06:15:00 PM,49.228,,,,,
19,12/31/19 06:30:00 PM,48.695,,,,,
20,12/31/19 06:45:00 PM,48.339,,,,,
21,12/31/19 07:00:00 PM,47.982,,,,,
22,12/31/19 07:15:00 PM,47.802,,,,,
23,12/31/19 07:30:00 PM,47.624,,,,,
24,12/31/19 07:45:00 PM,47.446,,,,,
25,12/31/19 08:00:00 PM,47.266,,,,,
26,12/31/19 08:15:00 PM,47.088,,,,,
27,12/31/19 08:30:00 PM,46.908,,,,,
28,12/31/19 08:45:00 PM,46.908,,,,,
29,12/31/19 09:00:00 PM,46.908,,,,,
30,12/31/19 09:15:00 PM,46.548,,,,,
31,12/31/19 09:30:00 PM,46.369,,,,,
32,12/31/19 09:45:00 PM,46.369,,,,,
33,12/31/19 10:00:00 PM,46.188,,,,,
34,12/31/19 10:15:00 PM,46.008,,,,,
35,12/31/19 10:30:00 PM,46.008,,,,,
36,12/31/19 10:45:00 PM,45.828,,,,,
37,12/31/19 11:00:00 PM,45.828,,,,,
38,12/31/19 11:15:00 PM,45.828,,,,,
39,12/31/19 11:30:00 PM,45.828,,,,,
40,12/31/19 11:45:00 PM,45.828,,,,,
41,01/01/20 12:00:00 AM,45.828,,,,,
42,01/01/20 12:15:00 AM,45.648,,,,,
43,01/01/20 12:30:00 AM,45.286,,,,,
44,01/01/20 12:45:00 AM,45.104,,,,,
45,01/01/20 01:00:00 AM,44.922,,,,,
46,01/01/20 01:15:00 AM,44.742,,,,,
47,01/01/20 01:30:00 AM,44.560,,,,,
48,01/01/20 01:45:00 AM,44.379,,,,,
49,01/01/20 02:00:00 AM,44.195,,,,,
50,01/01/20 02:15:00 AM,44.013,,,,,
51,01/01/20 02:30:00 AM,43.831,,,,,
52,01/01/20 02:45:00 AM,43.648,,,,,
53,01/01/20 03:00:00 AM,44.013,,,,,
54,01/01/20 03:15:00 AM,44.195,,,,,
55,01/01/20 03:30:00 AM,44.379,,,,,
56,01/01/20 03:45:00 AM,44.379,,,,,
57,01/01/20 04:00:00 AM,44.379,,,,,
58,01/01/20 04:15:00 AM,44.379,,,,,
59,01/01/20 04:30:00 AM,44.560,,,,,
60,01/01/20 04:45:00 AM,44.560,,,,,
61,01/01/20 05:00:00 AM,44.742,,,,,
62,01/01/20 05:15:00 AM,44.742,,,,,
63,01/01/20 05:30:00 AM,44.742,,,,,
64,01/01/20 05:45:00 AM,44.560,,,,,
65,01/01/20 06:00:00 AM,44.379,,,,,
66,01/01/20 06:15:00 AM,44.195,,,,,
67,01/01/20 06:30:00 AM,44.013,,,,,
68,01/01/20 06:45:00 AM,44.013,,,,,
69,01/01/20 07:00:00 AM,44.013,,,,,
70,01/01/20 07:15:00 AM,44.013,,,,,
71,01/01/20 07:30:00 AM,44.013,,,,,
72,01/01/20 07:45:00 AM,44.013,,,,,
73,01/01/20 08:00:00 AM,44.195,,,,,
74,01/01/20 08:15:00 AM,44.560,,,,,
75,01/01/20 08:30:00 AM,44.922,,,,,
76,01/01/20 08:45:00 AM,45.466,,,,,
77,01/01/20 09:00:00 AM,46.008,,,,,
78,01/01/20 09:15:00 AM,46.728,,,,,
79,01/01/20 09:30:00 AM,47.446,,,,,
80,01/01/20 09:45:00 AM,48.160,,,,,
81,01/01/20 10:00:00 AM,48.871,,,,,
82,01/01/20 10:15:00 AM,49.582,,,,,
83,01/01/20 10:30:00 AM,50.466,,,,,
84,01/01/20 10:45:00 AM,51.523,,,,,
85,01/01/20 11:00:00 AM,52.401,,,,,
86,01/01/20 11:15:00 AM,53.798,,,,,
87,01/01/20 11:30:00 AM,55.884,,,,,
88,01/01/20 11:45:00 AM,57.785,,,,,
89,01/01/20 12:00:00 PM,61.741,,,,,
90,01/01/20 12:15:00 PM,72.028,,,,,
91,01/01/20 12:30:00 PM,63.626,,,,,
92,01/01/20 12:45:00 PM,62.254,,,,,
93,01/01/20 01:00:00 PM,61.741,,,,,
94,01/01/20 01:15:00 PM,63.111,,,,,
95,01/01/20 01:30:00 PM,61.569,,,,,
96,01/01/20 01:45:00 PM,61.398,,,,,
97,01/01/20 02:00:00 PM,61.741,,,,,
98,01/01/20 02:15:00 PM,62.598,,,,,
99,01/01/20 02:30:00 PM,61.741,,,,,
100,01/01/20 02:45:00 PM,60.539,,,,,
101,01/01/20 03:00:00 PM,59.508,,,,,
102,01/01/20 03:15:00 PM,58.993,,,,,
103,01/01/20 03:30:00 PM,58.476,,,,,
104,01/01/20 03:45:00 PM,57.958,,,,,
105,01/01/20 04:00:00 PM,57.614,,,,,
106,01/01/20 04:15:00 PM,57.268,,,,,
107,01/01/20 04:30:00 PM,56.750,,,,,
108,01/01/20 04:45:00 PM,56.230,,,,,
109,01/01/20 05:00:00 PM,55.711,,,,,
110,01/01/20 05:15:00 PM,55.364,,,,,
111,01/01/20 05:30:00 PM,54.842,,,,,
112,01/01/20 05:45:00 PM,54.495,,,,,
113,01/01/20 06:00:00 PM,53.973,,,,,
114,01/01/20 06:15:00 PM,53.623,,,,,
115,01/01/20 06:30:00 PM,53.274,,,,,
116,01/01/20 06:45:00 PM,52.925,,,,,
117,01/01/20 07:00:00 PM,52.750,,,,,
118,01/01/20 07:15:00 PM,52.576,,,,,
119,01/01/20 07:30:00 PM,52.576,,,,,
120,01/01/20 07:45:00 PM,52.401,,,,,
121,01/01/20 08:00:00 PM,52.225,,,,,
122,01/01/20 08:15:00 PM,51.874,,,,,
123,01/01/20 08:30:00 PM,51.699,,,,,
124,01/01/20 08:45:00 PM,51.523,,,,,
125,01/01/20 09:00:00 PM,51.346,,,,,
126,01/01/20 09:15:00 PM,51.172,,,,,
127,01/01/20 09:30:00 PM,50.995,,,,,
128,01/01/20 09:45:00 PM,50.819,,,,,
129,01/01/20 10:00:00 PM,50.643,,,,,
130,01/01/20 10:15:00 PM,50.466,,,,,
131,01/01/20 10:30:00 PM,50.113,,,,,
132,01/01/20 10:45:00 PM,49.937,,,,,
133,01/01/20 11:00:00 PM,49.759,,,,,
134,01/01/20 11:15:00 PM,49.759,,,,,
135,01/01/20 11:30:00 PM,49.582,,,,,
136,01/01/20 11:45:00 PM,49.228,,,,,
137,01/02/20 12:00:00 AM,49.050,,,,,
138,01/02/20 12:15:00 AM,48.695,,,,,
139,01/02/20 12:30:00 AM,48.339,,,,,
140,01/02/20 12:45:00 AM,48.160,,,,,
141,01/02/20 01:00:00 AM,47.802,,,,,
142,01/02/20 01:15:00 AM,47.624,,,,,
143,01/02/20 01:30:00 AM,47.088,,,,,
144,01/02/20 01:45:00 AM,46.728,,,,,
145,01/02/20 02:00:00 AM,46.548,,,,,
146,01/02/20 02:15:00 AM,46.188,,,,,
147,01/02/20 02:30:00 AM,46.008,,,,,
148,01/02/20 02:45:00 AM,45.648,,,,,
149,01/02/20 03:00:00 AM,45.648,,,,,
150,01/02/20 03:15:00 AM,45.466,,,,,
151,01/02/20 03:30:00 AM,45.286,,,,,
152,01/02/20 03:45:00 AM,45.104,,,,,
153,01/02/20 04:00:00 AM,44.922,,,,,
154,01/02/20 04:15:00 AM,44.560,,,,,
155,01/02/20 04:30:00 AM,44.379,,,,,
156,01/02/20 04:45:00 AM,44.195,,,,,
157,01/02/20 05:00:00 AM,44.195,,,,,
158,01/02/20 05:15:00 AM,44.013,,,,,
159,01/02/20 05:30:00 AM,43.831,,,,,
160,01/02/20 05:45:00 AM,43.831,,,,,
161,01/02/20 06:00:00 AM,43.831,,,,,
162,01/02/20 06:15:00 AM,43.831,,,,,
163,01/02/20 06:30:00 AM,43.648,,,,,
164,01/02/20 06:45:00 AM,43.648,,,,,
165,01/02/20 07:00:00 AM,43.648,,,,,
166,01/02/20 07:15:00 AM,43.466,,,,,
167,01/02/20 07:30:00 AM,43.466,,,,,
168,01/02/20 07:45:00 AM,43.648,,,,,
169,01/02/20 08:00:00 AM,43.648,,,,,
170,01/02/20 08:15:00 AM,44.013,,,,,
171,01/02/20 08:30:00 AM,44.560,,,,,
172,01/02/20 08:45:00 AM,45.104,,,,,
173,01/02/20 09:00:00 AM,45.648,,,,,
174,01/02/20 09:15:00 AM,46.188,,,,,
175,01/02/20 09:30:00 AM,46.728,,,,,
176,01/02/20 09:45:00 AM,47.802,,,,,
177,01/02/20 10:00:00 AM,48.517,,,,,
178,01/02/20 10:15:00 AM,49.404,,,,,
179,01/02/20 10:30:00 AM,50.113,,,,,
180,01/02/20 10:45:00 AM,50.995,,,,,
181,01/02/20 11:00:00 AM,51.874,,,,,
182,01/02/20 11:15:00 AM,52.925,,,,,
183,01/02/20 11:30:00 AM,54.147,,,,,
184,01/02/20 11:45:00 AM,55.189,,,,,
185,01/02/20 12:00:00 PM,57.441,,,,,
186,01/02/20 12:15:00 PM,72.028,,,,,
187,01/02/20 12:30:00 PM,64.996,,,,,
188,01/02/20 12:45:00 PM,66.022,,,,,
189,01/02/20 01:00:00 PM,61.741,,,,,
190,01/02/20 01:15:00 PM,62.083,,,,,
191,01/02/20 01:30:00 PM,59.508,,,,,
192,01/02/20 01:45:00 PM,59.164,,,,,
193,01/02/20 02:00:00 PM,58.647,,,,,
194,01/02/20 02:15:00 PM,60.712,,,,,
195,01/02/20 02:30:00 PM,59.164,,,,,
196,01/02/20 02:45:00 PM,58.647,,,,,
197,01/02/20 03:00:00 PM,58.131,,,,,
198,01/02/20 03:15:00 PM,57.614,,,,,
199,01/02/20 03:30:00 PM,56.923,,,,,
200,01/02/20 03:45:00 PM,56.057,,,,,
201,01/02/20 04:00:00 PM,55.364,,,,,
202,01/02/20 04:15:00 PM,54.669,,,,,
